State Full Name,State Abbreviation,,State Full Name,State Abbreviation
Washington,WA,,Delaware,DE
British Columbia,BC,,District of Columbia,DC
Wisconsin,WI,,Hawaii,HI
West Virginia,WV,,Texas,TX
Florida,FL,,Louisiana,LA
Wyoming,WY,,Tennessee,TN
New Hampshire,NH,,Pennsylvania,PA
New Jersey,NJ,,Virginia,VA
New Mexico,NM,,Alaska,AK
New Brunswick,NB,,Alabama,AL
North Carolina,NC,,Arkansas,AR
North Dakota,ND,,Vermont,VT
Nebraska,NE,,Illinois,IL
New York,NY,,Indiana,IN
Nova Scotia,NS,,Iowa,IA
Rhode Island,RI,,Arizona,AZ
Nevada,NV,,Idaho,ID
Colorado,CO,,Maine,ME
California,CA,,Maryland,MD
Georgia,GA,,Massachusetts,MA
Connecticut,CT,,Utah,UT
Ontario,ON,,Missouri,MO
Oklahoma,OK,,Minnesota,MN
Ohio,OH,,Michigan,MI
Kansas,KS,,Montana,MT
South Carolina,SC,,Quebec,QC
Kentucky,KY,,Mississippi,MS
Oregon,OR,,,
South Dakota,SD,,,
