Lake Zurich,Illinois,IL,USA,42.19696889999999,-88.0934108
La Palma,California,CA,USA,33.846404,-118.0467306
Buena Park,California,CA,USA,33.8675143,-117.9981181
Culver City,California,CA,USA,34.0211224,-118.3964665
Long Beach,California,CA,USA,33.7700504,-118.1937395
Novato,California,CA,USA,38.1074198,-122.5697032
Pleasanton,California,CA,USA,37.6624312,-121.8746789
Rancho Cucamonga,California,CA,USA,34.10639889999999,-117.5931084
Aurora,Colorado,CO,USA,39.7294319,-104.8319195
Fort Myers,Florida,FL,USA,26.640628,-81.8723084
Elk Grove Village,Illinois,IL,USA,42.0039178,-87.9703461
Lenexa,Kansas,KS,USA,38.9536174,-94.73357089999999
Dearborn,Michigan,MI,USA,42.3222599,-83.17631449999999
Sunset Hills,Missouri,MO,USA,38.5389423,-90.407341
Roseland,New Jersey,NJ,USA,40.8206555,-74.2937594
Liverpool,New York,NY,USA,43.106456,-76.21770459999999
Williamsville,New York,NY,USA,42.963947,-78.73780909999999
Findlay,Ohio,OH,USA,41.04422,-83.6499321
Clackamas,Oregon,OR,USA,45.4076205,-122.5703692
Coraopolis,Pennsylvania,PA,USA,40.5184013,-80.1667247
South Jordan,Utah,UT,USA,40.5621704,-111.929658
Chester,,,UK,53.193392,-2.893075
Agoura Hills,California,CA,USA,34.1533395,-118.7616764
Glastonbury,Connecticut,CT,USA,41.6861794,-72.5450779
Westport,Connecticut,CT,USA,41.1414717,-73.3579049
Clayton,Missouri,MO,USA,38.6425518,-90.32372629999999
Hopewell,New Jersey,NJ,USA,40.343784,-74.8156199
Pennington,New Jersey,NJ,USA,40.3284402,-74.790718
Montpellier,,,France,43.610769,3.876716
Halle,,,Germany,51.4969802,11.9688029
Bayan Lepas,,,Malaysia,5.294464,100.2593272
lodzkie,,,Poland,51.4634771,19.1726974
Edinburgh,,,UK,55.953252,-3.188267
Taguig City,,,Philippines,14.5176184,121.0508645
Melbourne,VIC,VIC,Australia,-37.814107,144.96328
Frankfurt am Main,,,Germany,50.1109221,8.6821267
Col. Lomas De Chapultepec,,,Mexico,19.420556,-99.21888899999999
Playa Vista,California,CA,USA,33.97278980000001,-118.4275776
Broadview Heights,Ohio,OH,USA,41.3139426,-81.6851271
The Woodlands,Texas,TX,USA,30.1658207,-95.46126249999999
Botany,NSW,NSW,Australia,-33.9443842,151.1962869
Macquarie Park,NSW,NSW,Australia,-33.7758202,151.1194285
Pymble,NSW,NSW,Australia,-33.744008,151.1417871
Melbourne,VC,VC,Australia,-37.814107,144.96328
Wavre,,,Belgium,50.7158956,4.6128075
Field,Nova Scotia,NS,Canada,45.8716893,-63.7811551
Field,Quebec,QC,Canada,46.523533,-80.024271
St. Laurent,Quebec,QC,Canada,45.4985638,-73.74975669999999
Jiaxing,,,China,30.753924,120.758543
Alajuela,,,Costa Rica,10.391583,-84.4382721
,,,Dominican Republic,18.735693,-70.162651
,,,Egypt,26.820553,30.802498
Rungis,,,France,48.749358,2.349936
Baden-Württemberg,,,Germany,48.6616037,9.3501336
Wetzlar,,,Germany,50.5589802,8.508164599999999
Witten,,,Germany,51.4438926,7.353197000000001
Pondok Indah,,,Indonesia,-6.26586,106.78377
Clonmel,,,Ireland,52.3558172,-7.6902551
Cootehill,,,Ireland,54.0725034,-7.0823541
Finisklin Sligo,,,Ireland,54.2782948,-8.510143099999999
Longford,,,Ireland,53.7275564,-7.793108999999999
Santry,,,Ireland,53.3995925,-6.2440083
Westport,,,Ireland,53.80213070000001,-9.514346699999999
Campoverde di Aprilia,,,Italy,41.5391677,12.7298539
Groningen,,,Netherlands,53.2193835,6.566501799999999
Olst,,,Netherlands,52.3377894,6.1141253
Weesp,,,Netherlands,52.3080507,5.0406217
Zwolle,,,Netherlands,52.5167747,6.083021899999999
Anasco,,,Puerto Rico,18.283056,-67.141389
Rostov,,,Russia,47.23333299999999,39.7
Stavropol,,,Russia,45.05,41.98333299999999
Yaroslavl,,,Russia,57.62607440000001,39.8844708
Jiddah,,,Saudi Arabia,21.543333,39.17277800000001
Basel,,,Switzerland,47.5674422,7.597550699999999
Witney,,,UK,51.7859365,-1.4850544
Casa Grande,Arizona,AZ,USA,32.8795022,-111.7573521
Alameda,California,CA,USA,37.7652065,-122.2416355
Temecula,California,CA,USA,33.4936391,-117.1483648
Field,Connecticut,CT,USA,39.7952064,-105.098443
Hollywood,Florida,FL,USA,26.0112014,-80.1494901
Abbott Park,Illinois,IL,USA,42.304505,-87.8960712
Des Plaines,Illinois,IL,USA,42.0333623,-87.88339909999999
Richmond,Indiana,IN,USA,39.8289369,-84.8902382
Hagerstown,Maryland,MD,USA,39.6417629,-77.71999319999999
Sturgis,Michigan,MI,USA,41.799217,-85.41914820000001
Cherry Hill,New Jersey,NJ,USA,39.926813,-75.0246312
Garden City,New York,NY,USA,40.7267682,-73.6342954
Tipp City,Ohio,OH,USA,39.9583892,-84.17216379999999
Albertslund,,,Denmark,55.659616,12.357064
Chennai,,,India,13.0826802,80.2707184
Seoul,,,Korea,37.566535,126.9779692
Muntinlupa City,,,Philippines,14.4081327,121.0414667
Solna,,,Sweden,59.36887909999999,18.0084334
Abilene,Texas,TX,USA,32.4487364,-99.73314390000002
Abingdon,Virginia,VA,USA,36.70983349999999,-81.9773482
Abington,Pennsylvania,PA,USA,40.1198332,-75.1253492
Adelphi,Maryland,MD,USA,39.0031656,-76.97192
Aiken,South Carolina,SC,USA,33.5604168,-81.7195533
Alamogordo,New Mexico,NM,USA,32.8995325,-105.960265
Albemarle,North Carolina,NC,USA,35.3501426,-80.2000578
Alexandria,Minnesota,MN,USA,45.8848164,-95.3776663
Allen Park,Michigan,MI,USA,42.2575385,-83.2110375
Alpena,Michigan,MI,USA,45.0616794,-83.4327528
Altoona,Pennsylvania,PA,USA,40.5186809,-78.3947359
Amarillo,Texas,TX,USA,35.2219971,-101.8312969
American Fork,Utah,UT,USA,40.3768954,-111.7957645
Americus,Georgia,GA,USA,32.0723861,-84.23268759999999
